GRND_UDGD_SE,ORTM_UTLZ_TYPE,SGG_CD,FCLT_CD,FCLT_SE_CD,ROAD_NM_CD,LOT_MIN,SHNT_PSBLTY_NOPE,FCLT_SCL,LOT_SEC,EMD_NM,FCLT_ADDR_RONA,SE_CD,OPN_YN,LAT_SEC,LAT_PROVIN,LAT_MIN,MNG_INST_TELNO,FCLT_NM,FCLT_DSGN_DAY,MNG_INST_NM,FCLT_ADDR_LOTNO,SCL_UNIT,LOT_PROVIN,EMD_CD
1,지하주차장,3480000,S201600002,3           ,4244670     ,27,9656,7967,19,현풍읍,대구광역시 달성군 현풍읍 테크노북로4길 11(대구테크노폴리스남해오네뜨1차),2,Y,45,35,41,053-668-2890,테크노폴리스 남해오네뜨 1차 아파트 지하1~2층,20160316,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 480 대구테크노폴리스남해오네뜨1차,㎡,128,3480374     
1,지하주차장,3480000,S201700039,3           ,4244668     ,27,9010,7434,1,현풍읍,대구광역시 달성군 현풍읍 테크노북로2길 10(대구테크노폴리스엘에이치천년나무1단지),2,Y,30,35,41,053-668-2890,테크노폴리스 LH천년나무1단지 아파트 지하1층,20170426,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 487 대구테크노폴리스엘에이치천년나무1단지,㎡,128,3480374     
1,지하주차장,3480000,S201700040,3           ,4244668     ,27,12647,10434,8,현풍읍,대구광역시 달성군 현풍읍 테크노북로2길 30(대구테크노폴리스엘에이치천년나무2단지),2,Y,29,35,41,053-668-2890,테크노폴리스 LH천년나무2단지 아파트 지하1층,20170420,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 488 대구테크노폴리스엘에이치천년나무2단지,㎡,128,3480374     
1,지하주차장,3480000,S201700041,3           ,3341006     ,27,12306,10153,18,현풍읍,대구광역시 달성군 현풍읍 테크노상업로 49(제일풍경채더퍼스트),2,Y,36,35,41,053-668-2890,테크노폴리스 제일풍경채더퍼스트 아파트 지하1층,20170424,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 484 제일풍경채더퍼스트,㎡,128,3480374     
1,지하주차장,3480000,S201700043,3           ,4244668     ,27,10469,8637,1,현풍읍,대구광역시 달성군 현풍읍 테크노북로2길 9(대구테크노폴리스일동미라주더파크),2,Y,32,35,41,053-668-2890,테크노폴리스 일동미라주 아파트 지하1층,20170427,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 485 대구테크노폴리스일동미라주더파크,㎡,128,3480374     
1,지하주차장,3480000,S201700062,3           ,4244670     ,27,5802,4787,21,현풍읍,대구광역시 달성군 현풍읍 테크노북로4길 27(대구테크노폴리스엘에이치천년나무3단지),2,Y,40,35,41,053-668-2890,테크노폴리스 LH천년나무 3단지 아파트 지하1층,20171025,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 481 대구테크노폴리스엘에이치천년나무3단지,㎡,128,3480374     
0,생활용수,3480000,E201900001,3           ,4244594     ,26,0,95,32,현풍읍,대구광역시 달성군 현풍읍 현풍중앙로21길 2,1,Y,53,35,41,053-668-2890,청구목욕탕,20190523,대구광역시 달성군청,대구광역시 달성군 현풍읍 402번지 9호,t(톤),128,3480374     
1,지하주차장,3480000,S201700042,3           ,3341006     ,27,11006,9080,12,현풍읍,대구광역시 달성군 현풍읍 테크노상업로 33(대구테크노폴리스 서한이다음),2,Y,32,35,41,053-668-2890,테크노폴리스 서한이다음 아파트 지하1층,20170426,대구광역시 달성군청,대구광역시 달성군 현풍읍 중리 486 대구테크노폴리스 서한이다음,㎡,128,3480374     
0,생활용수,3480000,E202100004,3           ,3007026     ,26,0,90,25,현풍읍,대구광역시 달성군 현풍읍 비슬로 738,1,Y,10,35,42,053-668-2890,달성종합스포츠파크,20210511,대구광역시 달성군청,대구광역시 달성군 현풍읍 성하리 225-2,t(톤),128,3480374     
1,의료시설,3480000,S202200001,3           ,4244552     ,24,421,348,27,하빈면,"대구광역시 달성군 하빈면 하산길 123-23, 대구보훈요양원",2,Y,25,35,53,053-668-2890,대구보훈요양원 지하1층,20221201,대구광역시 달성군청,대구광역시 달성군 하빈면 하산리 420,㎡,128,3480024     
1,지하주차장,3480000,S201200002,3           ,4244140     ,26,749,618,51,논공읍,대구광역시 달성군 논공읍 논공중앙로22길 12-0,2,Y,31,35,43,053-668-2890,평광행복타운 지하주차장 1층,20120611,대구광역시 달성군청,대구광역시 달성군 논공읍 남리 578번지 15호,㎡,128,3480042     
0,식수,3480000,E199700003,1           ,3148011     ,26,0,300,56,논공읍,대구광역시 달성군 논공읍 논공로 697-10,1,Y,46,35,43,053-668-2890,정부지원 민방위 비상급수시설(군민운동장내),19970101,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 1번지 36호,t(톤),128,3480042     
1,지하주차장,3480000,S199600005,3           ,4244140     ,26,1493,1232,56,논공읍,대구광역시 달성군 논공읍 논공중앙로22길 36-0,2,Y,25,35,43,053-668-2890,우방연합아파트 지하주차장 1층,19960320,대구광역시 달성군청,대구광역시 달성군 논공읍 남리 615번지 5호,㎡,128,3480042     
1,지하주차장,3480000,S199600006,3           ,4244124     ,26,3949,3258,43,논공읍,대구광역시 달성군 논공읍 논공로23길 14-0,2,Y,52,35,43,053-668-2890,성원 아파트 지하주차장 1층,19960920,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 803번지 4호,㎡,128,3480042     
1,"회의,교육",3480000,S201000001,3           ,3148026     ,25,658,543,54,논공읍,대구광역시 달성군 논공읍 달성군청로 33,2,Y,29,35,46,053-668-2890,달성군청 지하 1층,20101126,대구광역시 달성군청,대구광역시 달성군 논공읍 금포리 1313번지,㎡,128,3480042     
1,식수,3480000,E202100005,3           ,4244145     ,27,0,280,20,논공읍,대구광역시 달성군 논공읍 논공중앙로34길 35,1,Y,38,35,43,053-668-2890,대동공업,20211230,대구광역시 달성군청,대구광역시 달성군 논공읍 북리 1-40,t(톤),128,3480042     
1,주차장,3480000,S202200002,3           ,3148010     ,25,44801,36961,42,논공읍,대구광역시 달성군 논공읍 금포로 75-20(우신미가뷰 아파트),2,Y,12,35,46,053-668-2890,우신미가뷰 아파트 지하주차장 1~3층,20221230,대구광역시 달성군청,대구광역시 달성군 논공읍 금포리 1630 우신미가뷰 아파트,㎡,128,3480042     
1,지하주차장,3480000,S199700002,3           ,2007002     ,27,2739,2260,23,다사읍,대구광역시 달성군 다사읍 달구벌대로 770 (강창우방타운),2,Y,41,35,51,053-668-2890,강창우방아파트 지하주차장 1층~2층,19970924,대구광역시 달성군청,대구광역시 달성군 다사읍 매곡리 719번지 1호,㎡,128,3480043     
1,지하주차장,3480000,S199700001,3           ,4244368     ,29,9273,7651,60,다사읍,대구광역시 달성군 다사읍 서재로30길 17-0,2,Y,38,35,52,053-668-2890,서재보성1차 아파트 지하주차장 1~2층,19970522,대구광역시 달성군청,대구광역시 달성군 다사읍 서재리 145번지,㎡,128,3480043     
1,지하주차장,3480000,S201000002,3           ,4244205     ,27,2136,1763,24,다사읍,대구광역시 달성군 다사읍 매곡로14길 13-0,2,Y,58,35,51,053-668-2890,다사주공1단지 지하주차장 1층,20101206,대구광역시 달성군청,대구광역시 달성군 다사읍 매곡리 510번지,㎡,128,3480043     
1,기타,3480000,S200600002,3           ,2007002     ,27,2976,2456,57,다사읍,대구광역시 달성군 다사읍 달구벌대로 지하 888 (대실역),2,Y,24,35,51,053-668-2890,대구 대실역 지하1~3층,20060712,대구광역시 달성군청,대구광역시 달성군 다사읍 242번지 2호,㎡,128,3480043     
