시설구분코드|시설코드|시설명|시설규모|대피가능인원수|관리기관명|관리기관전화번호|시설주소도로명|경도|위도|개방여부|지상지하구분
지진|S201100009|산격2차 청구맨션 전체동의 지하주차장 1,2층|6350|7696|대구광역시 북구청|053-665-4310|대구광역시 북구 대구체육관로4길 2 (산격동, 산격2차청구맨션)|128.60222222222222|35.890277777777776|Y|1
지진|S201100010|산격1차청구맨션 전체동의 지하주차장 1층|2080|2521|대구광역시 북구청|053-665-4310|대구광역시 북구 대구체육관로 12 (산격동, 산격청구맨션)|128.6013888888889|35.89055555555556|Y|1
지진해일|E201200001|스카이 사우나 3층|210|210|대구광역시 북구청|053-665-3900|대구광역시 북구 동북로 156 (산격동)|128.60972222222222|35.89944444444444|Y|0
지진|S200300061|경북대 도서관 신관 지하 1층|826|1001|대구광역시 북구청|053-665-4310|대구광역시 북구 대학로 80 (산격동, 경북대학교)|128.60972222222222|35.8875|Y|1
지진|S200300062|경북대 복현회관 지하 1층|1256|1522|대구광역시 북구청|053-665-4310|대구광역시 북구 대학로 80 (산격동, 경북대학교)|128.60972222222222|35.8875|Y|1
지진|S200300118|북부도서관 지하 1층|401|486|대구광역시 북구청|053-665-4310|대구광역시 북구 옥산로 75 (침산동, 북부도서관)|128.5838888888889|35.885|Y|1
한파|E198200004|대구체육관|400|400|대구광역시 북구청|053-665-3900|대구광역시 북구 대구체육관로 39 (산격동, 대구체육관)|128.60333333333332|35.89333333333333|Y|0
무더위|E200000001|침산공원 비상급수시설|98|98|대구광역시 북구청|053-665-2850||128.58472222222224|35.89611111111111|Y|0
지진|S201700005|복현3차서한이다음 전체동 지하주차장 1층|983|1191|대구광역시 북구청|053-665-3640|대구광역시 북구 복현로 130 (복현동, 복현3차서한이다음)|128.61833333333334|35.90138888888889|Y|1
지진|S201600008|명문세가2단지 전체동 지하주차장 1층|1152|1396|대구광역시 북구청|053-665-3640|대구광역시 북구 복현로 50 (복현동, 복현블루밍브라운스톤명문세가아파트)|128.62444444444446|35.896388888888886|Y|1
지진|S200300151|동서영남타운 지하1층 주차장|8929|10823|대구광역시 북구청|053-665-3800|대구광역시 북구 구암로 180(구암동, 칠곡동서영남아파트)|128.55944444444447|35.93|Y|1
지진|S200300152|청구타운 지하1층~2층 주차장|7881|9552|대구광역시 북구청|053-665-3800|대구광역시 북구 학정로 271(구암동, 칠곡청구타운)|128.55972222222223|35.92944444444444|Y|1
지진|S200300156|동서2차아파트 지하1층 주차장|5309|6435|대구광역시 북구청|053-665-3800|대구광역시 북구 구암로32길 22 (구암동, 칠곡2차동서타운)|128.5575|35.92972222222222|Y|1
지진|S200300157|한라아파트 지하1층~2층 주차장|8555|10369|대구광역시 북구청|053-665-3800|대구광역시 북구 구암로 170(구암동, 칠곡2차한라타운)|128.55916666666667|35.93|Y|1
지진|S201500001|화성그랜드파크 지하1층~2층주차장|2179|2641|대구광역시 북구청|053-665-3800|대구광역시 북구 구암로65길 9(구암동, 화성그랜드파크)|128.5686111111111|35.94083333333333|Y|1
지진|S200300153|칠곡미래타운 지하1층 주차장|7474|9059|대구광역시 북구청|053-665-4430|대구광역시 북구 팔거천동로 52(구암동, 칠곡미래타운)|128.5536111111111|35.92916666666667|Y|1
지진해일|E201300003|태백사우나|320|320|대구광역시 북구청|053-665-3800|대구광역시 북구 팔거천동로 80-1 (구암동)|128.5552777777778|35.93138888888889|Y|0
지진|S201600006|그린빌3단지아파트 지하1층~2층 주차장|2570|3115|대구광역시 북구청|053-665-3800|대구광역시 북구 구암서로 41(구암동, 그린빌3차)|128.56583333333336|35.94|Y|1
지진해일|E201200002|칠곡보석헬스장(1)|370|370|대구광역시 북구청|053-665-3800|대구광역시 북구 학정로 416 (구암동)|128.56361111111113|35.94166666666666|Y|0
지진해일|E201200003|칠곡보석헬스장(2)|210|210|대구광역시 북구청|053-665-3800|대구광역시 북구 학정로 416 (구암동)|128.56361111111113|35.94166666666666|Y|0
지진해일|E200000015|복현건영타운|90|90|대구광역시 북구청||대구광역시 북구 검단로 28 (복현동, 복현건영아파트)|128.61555555555555|35.9|Y|0
